date;heure;NO2;O3
;;microg/m3;microg/m3
21/04/2008;1;13;74
21/04/2008;2;11;73
21/04/2008;3;13;64
21/04/2008;4;23;46
21/04/2008;5;47;24
21/04/2008;6;70;11
21/04/2008;7;70;17
21/04/2008;8;76;16
21/04/2008;9;n/d;n/d
21/04/2008;10;n/d;n/d
21/04/2008;11;n/d;n/d
21/04/2008;12;33;60
21/04/2008;13;31;61
21/04/2008;14;37;61
21/04/2008;15;20;78
21/04/2008;16;29;71
21/04/2008;17;30;70
21/04/2008;18;38;58
21/04/2008;19;52;40
21/04/2008;20;56;29
21/04/2008;21;39;40
21/04/2008;22;31;42
21/04/2008;23;29;42
21/04/2008;24;28;36
22/04/2008;1;46;16
22/04/2008;2;57;3
22/04/2008;3;59;1
22/04/2008;4;68;0
22/04/2008;5;71;1
22/04/2008;6;66;5
22/04/2008;7;63;9
22/04/2008;8;n/d;n/d
22/04/2008;9;52;29
22/04/2008;10;42;46
22/04/2008;11;35;54
22/04/2008;12;32;59
22/04/2008;13;32;62
22/04/2008;14;31;79
22/04/2008;15;31;95
22/04/2008;16;38;87
22/04/2008;17;44;73
22/04/2008;18;39;79
22/04/2008;19;46;61
22/04/2008;20;54;29
22/04/2008;21;49;26
22/04/2008;22;41;34
22/04/2008;23;31;51
22/04/2008;24;30;48
23/04/2008;1;30;47
23/04/2008;2;27;49
23/04/2008;3;34;44
23/04/2008;4;74;6
23/04/2008;5;76;2
23/04/2008;6;75;4
23/04/2008;7;68;8
23/04/2008;8;n/d;n/d
23/04/2008;9;58;19
23/04/2008;10;49;36
23/04/2008;11;27;62
23/04/2008;12;26;65
23/04/2008;13;25;61
23/04/2008;14;32;57
23/04/2008;15;36;56
23/04/2008;16;33;70
23/04/2008;17;30;84
23/04/2008;18;38;76
23/04/2008;19;43;67
23/04/2008;20;48;59
23/04/2008;21;49;50
23/04/2008;22;58;37
23/04/2008;23;71;26
23/04/2008;24;79;17
24/04/2008;1;88;0
24/04/2008;2;85;0
24/04/2008;3;80;0
24/04/2008;4;82;0
24/04/2008;5;92;0
24/04/2008;6;104;1
24/04/2008;7;133;3
24/04/2008;8;111;8
24/04/2008;9;68;29
24/04/2008;10;40;58
24/04/2008;11;23;85
24/04/2008;12;21;90
24/04/2008;13;19;94
24/04/2008;14;19;92
24/04/2008;15;21;91
24/04/2008;16;21;89
24/04/2008;17;25;82
24/04/2008;18;40;62
24/04/2008;19;49;53
24/04/2008;20;39;57
24/04/2008;21;27;61
24/04/2008;22;27;59
24/04/2008;23;26;56
24/04/2008;24;24;57
25/04/2008;1;19;61
25/04/2008;2;18;66
25/04/2008;3;19;62
25/04/2008;4;21;68
25/04/2008;5;35;51
25/04/2008;6;55;36
25/04/2008;7;48;44
25/04/2008;8;48;49
25/04/2008;9;44;55
25/04/2008;10;32;69
25/04/2008;11;26;77
25/04/2008;12;23;81
25/04/2008;13;21;88
25/04/2008;14;17;96
25/04/2008;15;21;96
25/04/2008;16;25;97
25/04/2008;17;29;95
25/04/2008;18;35;83
25/04/2008;19;32;88
25/04/2008;20;41;73
25/04/2008;21;64;45
25/04/2008;22;77;30
25/04/2008;23;64;38
25/04/2008;24;66;29
26/04/2008;1;62;32
26/04/2008;2;77;13
26/04/2008;3;89;0
26/04/2008;4;85;0
26/04/2008;5;84;0
26/04/2008;6;75;8
26/04/2008;7;61;26
26/04/2008;8;51;44
26/04/2008;9;32;69
26/04/2008;10;20;88
26/04/2008;11;16;94
26/04/2008;12;13;101
26/04/2008;13;13;106
26/04/2008;14;12;109
26/04/2008;15;13;107
26/04/2008;16;15;103
26/04/2008;17;16;101
26/04/2008;18;19;95
26/04/2008;19;25;96
26/04/2008;20;27;88
26/04/2008;21;33;77
26/04/2008;22;35;71
26/04/2008;23;34;70
26/04/2008;24;31;73
27/04/2008;1;29;70
27/04/2008;2;18;74
27/04/2008;3;18;65
27/04/2008;4;19;64
27/04/2008;5;28;50
27/04/2008;6;30;51
27/04/2008;7;24;61
27/04/2008;8;22;67
27/04/2008;9;21;72
27/04/2008;10;17;87
27/04/2008;11;14;98
27/04/2008;12;16;102
27/04/2008;13;14;102
27/04/2008;14;14;110
27/04/2008;15;15;106
27/04/2008;16;18;98
27/04/2008;17;21;93
27/04/2008;18;26;85
27/04/2008;19;29;80
27/04/2008;20;39;67
27/04/2008;21;45;52
27/04/2008;22;34;60
27/04/2008;23;16;78
27/04/2008;24;17;75
28/04/2008;1;18;78
28/04/2008;2;9;85
28/04/2008;3;10;72
28/04/2008;4;16;51
28/04/2008;5;21;47
28/04/2008;6;27;47
28/04/2008;7;41;37
28/04/2008;8;48;43
28/04/2008;9;47;54
28/04/2008;10;44;56
28/04/2008;11;37;57
28/04/2008;12;23;72
